source_row,serial,model_station,calibration_date,next_cal_date,certificate,cost
2,BE18794,Minimate Plus,2025-07-04,2026-07-04,,
3,BE14187,Minimate,2025-07-22,2026-07-22,,
4,BE11209,Minimate,2025-06-16,2026-06-16,,
5,BE21045,Minimate,2025-05-14,2026-05-14,,
6,BE20280,Minimate,2025-05-14,2026-05-14,,
7,UM18425,Micromate,2025-05-30,2026-05-30,,
8,UM21927,Micromate,2025-05-16,2026-05-16,,
9,UM18392,Micromate,2025-05-22,2026-05-22,,
10,UM21931,Micromate,2025-05-30,2026-05-30,,
11,UM16960,Micromate,2025-05-17,2026-05-17,,
12,UM15392,Micromate,2025-05-09,2026-05-09,,
13,UM16818,Micromate,2025-06-06,2026-06-06,,
14,UM16598,Micromate,2025-05-25,2026-05-25,,
15,UM12572,Micromate,2025-04-11,2026-04-11,,
16,UM11555,Micromate,2025-05-06,2026-05-06,,
17,UM12108,Micromate,2025-08-15,2026-08-15,,
18,UM21925,Micromate,2025-07-16,2026-07-16,,
19,UM18473,Micromate,2025-03-10,2026-03-10,,
20,UM21929,Micromate,2025-05-16,2026-05-16,,
21,UM17270,Micromate,2025-04-15,2026-04-15,,
22,UM17281,Micromate,2025-09-08,2026-09-08,,
23,UM18390,Micromate,2025-08-28,2026-08-28,,
24,UM21933,Micromate,2025-05-29,2026-05-29,,
25,UM17198,Micromate,2025-08-13,2026-08-13,,
26,UM17269,Micromate,2025-04-22,2026-04-22,,
27,BE17158,Minimate,2025-08-07,2026-08-07,,
28,BE20237,Minimate,2025-08-07,2026-08-07,,
29,BE18852,Minimate,2025-08-19,2026-08-19,,
30,UM12100,Micromate,2025-04-04,2026-04-04,,
31,UM17263,Micromate,2025-03-10,2026-03-10,,
32,UM16815,Micromate,2025-04-07,2026-04-07,,
33,UM17176,Micromate,2025-03-07,2026-03-07,,
34,UM15403,Micromate,2025-06-11,2026-06-11,,
35,UM17314,Micromate,2025-05-29,2026-05-29,,
36,UM15720,Micromate,2025-03-07,2026-03-07,,
37,UM21932,Micromate,2025-03-20,2026-03-20,,
38,UM17179,Micromate,2025-05-30,2026-05-30,,
39,108854,D10 Micro,N/A,#VALUE!,,
40,13657,S50,,1900-12-31,,
41,33100,V12,,1900-12-31,,
42,107245,D10,N/A,#VALUE!,,
43,13656,S50,,1900-12-31,,
44,35590,V12,,1900-12-31,,
45,106943,D10,N/A,#VALUE!,,
46,14489,S50,,1900-12-31,,
47,33140,V12,,1900-12-31,,
48,107246,D10,N/A,#VALUE!,,
49,13595,S50,,1900-12-31,,
50,33230,V12,,1900-12-31,,
51,109420,D10,N/A,#VALUE!,,
52,13863,S50,,1900-12-31,,
53,33630,V12,,1900-12-31,,
54,109426,D10,N/A,#VALUE!,,
55,14567,S50,,1900-12-31,,
56,107500,D10,N/A,#VALUE!,,
57,30240,V12,,1900-12-31,,
58,109424,D10,N/A,#VALUE!,,
59,14586,S50,,1900-12-31,,
60,32630,V12,,1900-12-31,,
61,109245,D10,N/A,#VALUE!,,
62,14587,S50,,1900-12-31,,
63,34750,V12,,1900-12-31,,
64,109425,D10,N/A,#VALUE!,,
65,13778,S50,,1900-12-31,,
66,107270,D10,N/A,#VALUE!,,
67,13593,S50,,1900-12-31,,
68,32980,V12,,1900-12-31,,
69,109418,D10,N/A,#VALUE!,,
70,14574,S50,,1900-12-31,,
71,32620,V12,,1900-12-31,,
72,107243,D10,N/A,#VALUE!,,
73,14485,S50,,1900-12-31,,
74,35360,V12,,1900-12-31,,
75,106932,D10,N/A,#VALUE!,,
76,13658,S50,,1900-12-31,,
77,32350,V12,,1900-12-31,,
78,106930,D10,N/A,#VALUE!,,
79,13596,S50,,1900-12-31,,
80,35060,V12,,1900-12-31,,
81,109252,D10,N/A,#VALUE!,,
82,14658,S50,,1900-12-31,,
83,34690,V12,,1900-12-31,,
84,112607,D10,N/A,#VALUE!,,
85,13599,S50,,1900-12-31,,
86,109251,D10,N/A,#VALUE!,,
87,13648,S50,,1900-12-31,,
88,33640,V12,,1900-12-31,,
89,109248,D10,N/A,#VALUE!,,
90,14488,S50,,1900-12-31,,
91,35640,V12,,1900-12-31,,
92,106948,D10,N/A,#VALUE!,,
93,12703,S50,,1900-12-31,,
94,32420,V12,,1900-12-31,,
95,107411,C22,,1900-12-31,,
96,106944,D10,N/A,#VALUE!,,
97,14614,S50,,1900-12-31,,
98,107247,D10,N/A,#VALUE!,,
99,14603,S50,,1900-12-31,,
100,106942,D10,N/A,#VALUE!,,
101,33290,V12,,1900-12-31,,
102,UM17049,Micromate,2026-03-17,2027-03-17,,
103,UM21945,Micromate,2025-06-17,2026-06-17,,
104,UA10899,SLM,2024-12-11,2025-12-11,,
105,UM17273,Micromate,2026-04-30,2027-04-30,,
106,UA10602,SLM,2025-07-08,2026-07-08,,
107,UM7134,Micromate,2025-04-02,2026-04-02,,
108,UA10456,SLM,2025-04-01,2026-04-01,,
