Asset Group,Asset ID,Equipment Type,Manufacturer,Model / Station,Serial Number,Current Office,Last Calibration Service,Next Calibration Due,Notes,Availability Status,Lifecycle Status,Staff,Project ID,Project Name,Location Type,Location,Deployment Date,Retirement Reason,Firmware Version,Pre Amp Serial,Element Serial,Static IP,Carrier,SIM ICCID,Phone Number
Seismographs,DL-BE-18794,Data Logger,Instantel,Minimate,BE18794,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-BE-14187,Data Logger,Instantel,Minimate,BE14187,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-BE-11209,Data Logger,Instantel,Minimate,BE11209,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-BE-21045,Data Logger,Instantel,Minimate,BE21045,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-BE-20280,Data Logger,Instantel,Minimate,BE20280,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-18425,Data Logger,Instantel,Micromate,UM18425,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-21927,Data Logger,Instantel,Micromate,UM21927,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-18392,Data Logger,Instantel,Micromate,UM18392,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-21931,Data Logger,Instantel,Micromate,UM21931,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-16960,Data Logger,Instantel,Micromate,UM16960,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-15392,Data Logger,Instantel,Micromate,UM15392,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-16818,Data Logger,Instantel,Micromate,UM16818,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-16598,Data Logger,Instantel,Micromate,UM16598,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-12572,Data Logger,Instantel,Micromate,UM12572,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-11555,Data Logger,Instantel,Micromate,UM11555,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-12108,Data Logger,Instantel,Micromate,UM12108,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-21925,Data Logger,Instantel,Micromate,UM21925,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-18473,Data Logger,Instantel,Micromate,UM18473,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-21929,Data Logger,Instantel,Micromate,UM21929,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-17270,Data Logger,Instantel,Micromate,UM17270,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
Seismographs,DL-UM-17281,Data Logger,Instantel,Micromate,UM17281,Ottawa,,,,Deployed or NOT Available,Active,,,,,,,,,,,,,,
