AssetId,EquipmentModelKey,SerialNumber,IdentifierValue,HomeOffice,Lifecycle,Status,CurrentLocation,Custodian,CurrentProject,ParentAsset,LastCalDate,NextCalDue,RetirementReason,Notes,PhoneNumber,StaticIp,MigrationSource
GEO-BG-30000,Instantel|Series III|Geophone,BG30000,,Ottawa,Active,Available,Ottawa,,,,2026-01-16,2027-01-16,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30000,Instantel|Minimate Plus|DataLogger,BE30000,,Toronto,Active,Deployed,4303 Birchmount Terrace,,09000236,,2024-12-02,2025-12-02,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30001,Instantel|Minimate Plus|DataLogger,BE30001,,Ottawa,Retired,Retired,,,,,2014-06-20,2015-06-20,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30002,Instantel|Minimate Plus|DataLogger,BE30002,,Ottawa,Active,Available,Ottawa,,,,2026-01-12,2027-01-12,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30003,Instantel|Minimate Plus|DataLogger,BE30003,,Toronto,Retired,Retired,,,,,2016-06-27,2017-06-27,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30001,Instantel|Series III|Geophone,BG30001,,Toronto,Retired,Retired,,,,,2014-04-30,2015-04-30,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
TMP-5001,Instantel|Minimate Plus|DataLogger,BE30004,,Toronto,Retired,Retired,,,,,2010-11-02,2011-11-02,Damaged,"Tag illegible on receipt — temporary tag issued, needs completion.",,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30005,Instantel|Minimate|DataLogger,BE30005,,Toronto,Retired,Retired,,,,,2017-04-10,2018-04-10,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30006,Instantel|Minimate Plus|DataLogger,BE30006,,Ottawa,Active,InCalibration,Montreal Calibration,,,,2024-05-16,2025-05-16,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30002,Instantel|Series III|Geophone,BG30002,,Toronto,Retired,Retired,,,,,2013-06-24,2014-06-24,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
