RelationshipId,ParentAsset,ChildAsset,RelationshipType,Start,End,CreatedByLine,ClosedByLine
62047f50-6f92-5ca0-aaeb-8d703b5f003b,DL-BE-30001,GEO-BG-30000,Kit,2006-12-18T19:39:14Z,2007-11-06T21:51:37Z,89ea3f17-1d77-577c-b8b5-bee259189de3,c3de1cd5-7c09-5370-8aca-1088cfef12ca
04486324-57cc-5b66-91be-43bc36268ba0,DL-BE-30003,GEO-BG-30002,Kit,2007-04-30T13:28:25Z,2007-05-29T21:07:33Z,ab00603c-2928-57e2-96ee-4f6f9ec58634,cbeb9032-386e-5143-8661-9efb775106d1
755a8fa4-6c7d-56ec-b537-70f06f4cb666,DL-BE-30000,GEO-BG-30001,Kit,2007-05-07T12:18:52Z,2007-05-31T20:56:57Z,d4b36946-e4b9-52af-8ed1-6964287f24fb,1f87da16-345a-5a6e-b800-808363fea8c9
4bc28fa3-dc81-5934-a39b-dd18459d4f27,DL-BE-30003,GEO-BG-30002,Kit,2007-06-04T13:39:30Z,2007-06-12T17:52:34Z,9e728348-afaf-5ed7-82ba-d52d7ad517f6,55405ddd-4ad8-53f5-9f4b-ba1ed4451364
79589990-be95-5cdf-981a-d023550b73fe,DL-BE-30000,GEO-BG-30001,Kit,2007-08-07T19:53:06Z,2007-10-14T19:51:06Z,87b3bb00-87a6-5018-939e-99456a643317,59ba4482-91b9-5d8c-bf9e-a9c8d28ea3a7
1b6659ed-9525-5194-a45c-80cd4fde377b,DL-BE-30003,GEO-BG-30002,Kit,2007-08-07T19:26:41Z,2008-01-25T19:04:35Z,976e6a7a-9d73-5c16-ad8d-585c7267b19d,eaa4a35d-6e92-5aaa-ad7c-e61c15b0f7df
b47659b4-81c4-5181-8ad1-bd80a978cc36,DL-BE-30006,GEO-BG-30004,Kit,2007-09-11T19:46:26Z,2007-10-09T19:09:06Z,963a719a-35e9-5456-9a4a-781399ed66c2,d4400e57-99ac-58f0-bf45-15da4eea6b52
3be15b1e-ed39-5d63-ab58-5d932185b43a,DL-BE-30006,GEO-BG-30004,Kit,2007-10-18T16:49:17Z,2007-12-31T22:29:20Z,a7b61388-da4f-51d2-b412-b04995a9167c,fe41d4f8-15b8-5c2c-b72f-7680bcd5fd66
7b421fda-c854-58d8-acd6-f65b357f97f6,DL-BE-30000,GEO-BG-30001,Kit,2007-10-22T17:26:09Z,2008-03-03T18:25:42Z,6c259b6a-66ef-50b6-881d-f9b4b8e1df92,e68c2817-72a8-5040-8964-57ca67d49c9e
83c17b20-1885-59fc-8475-a1e8c41f3bc6,DL-BE-30007,GEO-BG-30005,Kit,2008-01-02T13:36:42Z,2008-09-19T18:48:17Z,8f675743-2f02-542b-9811-c014772df321,31f34ae1-c7db-5454-8676-0eb6bea24e99
2bb2a20f-fa04-5442-9424-054fb691f6e0,DL-BE-30006,GEO-BG-30004,Kit,2008-01-24T15:47:55Z,2008-02-12T18:46:11Z,6d2d1429-c1e8-590c-8a7b-c4d30197611a,916a028a-ef2e-5ee6-b4c2-f240d1a47866
