RecordId,AssetId,CalibrationDate,NextDueDate,Lab,CertificateNumber,CertificateUrl,Cost,Result
08de8af1-d129-5773-a91d-ba6c1e91e98e,GEO-BG-30000,2006-08-25,2007-08-25,,SYN-FACTORY-000001,,,Pass
2fd3754a-2020-5c23-be55-53b32a30563d,DL-BE-30000,2006-09-25,2007-09-25,,SYN-FACTORY-000002,,,Pass
b925c702-217d-5a5e-8beb-b79230fc56f6,DL-BE-30001,2006-11-22,2007-11-22,,SYN-FACTORY-000003,,,Pass
4168099d-f4ae-59da-b71d-95699cd1ab49,DL-BE-30002,2006-12-19,2007-12-19,,SYN-FACTORY-000004,,,Pass
f46c092e-e883-545d-b2dc-612da27b36d6,DL-BE-30003,2007-01-15,2008-01-15,,SYN-FACTORY-000005,,,Pass
622e305d-a65e-50ca-99d8-3c88e94d1252,GEO-BG-30001,2007-02-09,2008-02-09,,SYN-FACTORY-000006,,,Pass
85f85939-52d0-5d1d-8ef0-3c11763cc514,TMP-5001,2007-02-12,2008-02-12,,SYN-FACTORY-000007,,,Pass
61d86543-5955-579a-912c-cc50a108fa5a,DL-BE-30005,2007-03-16,2008-03-16,,SYN-FACTORY-000008,,,Pass
1b40b890-6a02-56b7-935f-7f5c6052c806,DL-BE-30006,2007-04-03,2008-04-03,,SYN-FACTORY-000009,,,Pass
fd759ffd-a7a3-5786-a864-d87376221006,GEO-BG-30002,2007-04-16,2008-04-16,,SYN-FACTORY-000010,,,Pass
7904d5fd-bc73-5f07-b110-dc8b8174c70f,DL-BE-30003,2007-04-19,2008-04-19,Montreal Calibration,SYN-MC-07-000011,,410.00,Pass
b3fcf9f9-27f9-5511-8206-05656845c7c0,DL-BE-30007,2007-05-15,2008-05-15,,SYN-FACTORY-000012,,,Pass
c0306ab0-4ed9-51e6-8069-a045886a876f,TMP-5001,2007-07-02,2008-07-02,Montreal Calibration,SYN-MC-07-000013,,360.00,Pass
333c9223-4a31-5978-90ec-9dd5908e4e30,DL-BE-30008,2007-07-02,2008-07-02,,SYN-FACTORY-000014,,,Pass
c06bace0-10af-5a21-b26c-39a4c30cbabb,DL-BE-30006,2007-07-18,2008-07-18,Montreal Calibration,SYN-MC-07-000015,,385.00,Pass
4c98426a-a91f-5ff2-8ee5-201dfce6fb4f,DL-BE-30000,2007-07-27,2008-07-27,Montreal Calibration,SYN-MC-07-000016,,450.00,Pass
e9ec443a-9282-5049-9727-8631e202af8d,DL-BE-30009,2007-08-17,2008-08-17,,SYN-FACTORY-000017,,,Pass
d13907b1-a4a7-5136-9980-b77a9211e3e1,GEO-BG-30003,2007-08-17,2008-08-17,,SYN-FACTORY-000018,,,Pass
3800bd18-89a7-5192-bdaa-547bbc5146cb,GEO-BG-30004,2007-09-05,2008-09-05,,SYN-FACTORY-000019,,,Pass
