Manufacturer,Model,EquipmentType,AssetGroup,IdPrefix,IsSerialised,IdentifierType,DefaultCalIntervalMonths
Aeroqual,PCX,DustMonitor,AirQuality,AQDS,TRUE,Serial,12
Apple,AirTag,AssetTracker,General,AT,FALSE,None,
Bruel & Kjaer,4231,AcousticCalibrator,Acoustics,AC,FALSE,None,12
Campbell Scientific,VW-Analyzer,VWReadout,GeotechnicalMonitoring,VWR,TRUE,Serial,24
Encardio Rite,EDI-54V,VWReadout,GeotechnicalMonitoring,VWR,TRUE,Serial,24
Encardio Rite,Unspecified — needs field confirmation,VWReadout,GeotechnicalMonitoring,VWR,TRUE,Serial,24
GoPro,Black 12,HDCamera,Imaging,GoPro,TRUE,Serial,
GoPro,Black 7,HDCamera,Imaging,GoPro,TRUE,Serial,
GoPro,White 7,HDCamera,Imaging,GoPro,TRUE,Serial,
Instantel,Micromate,DataLogger,Seismographs,DL-UM,TRUE,Serial,12
Instantel,Micromate,Geophone,Seismographs,GEO-UM,TRUE,Serial,12
Instantel,Micromate,Microphone,Seismographs,SLM-UA,TRUE,Serial,12
Instantel,Minimate,DataLogger,Seismographs,DL-BE,TRUE,Serial,12
Instantel,Minimate Plus,DataLogger,Seismographs,DL-BE,TRUE,Serial,12
Instantel,Minimate Pro4,DataLogger,Seismographs,DL-MP,TRUE,Serial,12
Instantel,Series III,Geophone,Seismographs,GEO-BG,TRUE,Serial,12
Instantel,Series IV,Geophone,Seismographs,GEO-SE,TRUE,Serial,12
Instantel,Vision (station server),Server,Communications,SRV,FALSE,None,
Larson Davis,831C,SoundLevelMeter,Acoustics,SLM-LD,TRUE,Serial,12
Larson Davis,831C Element,Microphone,Acoustics,SLM-LD-EL,TRUE,Serial,12
Larson Davis,831C Pre-Amp,Microphone,Acoustics,SLM-LD-PA,TRUE,Serial,12
Larson Davis,CAL200,AcousticCalibrator,Acoustics,AC,FALSE,None,12
Leica,CS20,FieldController,Geomatics,FC,TRUE,Serial,
Leica,TS10,TotalStation,Geomatics,TS,TRUE,Serial,12
Leica,TS16,TotalStation,Geomatics,TS,TRUE,Serial,12
Loadsensing,Unspecified — needs field confirmation,MEMSSensor,GeotechnicalMonitoring,LS,TRUE,Serial,24
Measurand,SAAX,TiltSensor,GeotechnicalMonitoring,SAA,TRUE,Serial,24
"N/A (service, not a manufactured unit)",SIM Card,CellularService,Communications,DST,FALSE,ICCID,
RST,MEMS Digital,MEMSSensor,GeotechnicalMonitoring,MEMS,TRUE,Serial,24
RST,Model 23600,VWReadout,GeotechnicalMonitoring,VWR,TRUE,Serial,24
RST,Reel,Other,GeotechnicalMonitoring,ACC,TRUE,Serial,
RST,Unspecified — needs field confirmation (serial prefix 'DR'),VWReadout,GeotechnicalMonitoring,VWR,TRUE,Serial,24
SINUS,Soundbook,SoundLevelMeter,Acoustics,SB,TRUE,Serial,12
Settop,M1,AutomatedTotalStation,Geomatics,TS,TRUE,Serial,12
Sigicom,C22,Geophone,Seismographs,GEO-C22,TRUE,Serial,12
Sigicom,C50,SoundLevelMeter,Seismographs,SLM-C50,TRUE,Serial,12
Sigicom,D10,DataLogger,Seismographs,DL-D10,TRUE,Serial,12
Sigicom,D10M,DataLogger,Seismographs,DL-D10,TRUE,Serial,12
Sigicom,INFRANet (station server),Server,Communications,SRV,FALSE,None,
Sigicom,S50,SoundLevelMeter,Seismographs,SLM-S50,TRUE,Serial,12
Sigicom,V12,Geophone,Seismographs,GEO-V12,TRUE,Serial,12
Slope Indicator,EL Tilt Sensor,TiltSensor,GeotechnicalMonitoring,TLT,TRUE,Serial,24
Slope Indicator,VWP,VWReadout,GeotechnicalMonitoring,TLT,TRUE,Serial,24
Sony,AX-700,HDCamera,Imaging,CAM,TRUE,Serial,
Sony,CoolPix L32,HDCamera,Imaging,CAM,TRUE,Serial,
Sony,HDR-CX455,HDCamera,Imaging,CAM,TRUE,Serial,
Sony,HDR-PJ340,HDCamera,Imaging,CAM,TRUE,Serial,
Trimble,"S5 - 2"" Autolock",TotalStation,Geomatics,TS,TRUE,Serial,12
Trimble,S5 - 3s Robotic,TotalStation,Geomatics,TS,TRUE,Serial,12
Trimble,"S7 - 1"" Autolock AMTS",AutomatedTotalStation,Geomatics,TS,TRUE,Serial,12
Trimble,S7 - 2s Robotic,TotalStation,Geomatics,TS,TRUE,Serial,12
Sierra Wireless,AirLink RV50X,Modem,Communications,MDM,TRUE,Serial,
