InstallationComponentId,InstallationId,AssetId,KitRole,Orientation,Start,End,OpenedByLine,ClosedByLine
f5a43964-74f5-509e-9e92-da36b1a24709,042fb177-a7ad-5aae-8c13-61837e9e6971,DL-BE-30000,Primary,,2006-10-17T17:03:53Z,2006-11-29T21:43:46Z,2b3d070d-ed84-582e-a5bb-8ed74a6b1d9f,9ada6d94-a722-597f-a3d2-1e8b3b0d19ab
59257883-863b-5514-9926-97a9499ad5a8,f5383f2d-dc54-5fea-a75d-82b735add85f,DL-BE-30001,Primary,,2006-12-18T19:39:14Z,2007-11-06T21:51:37Z,89ea3f17-1d77-577c-b8b5-bee259189de3,c3de1cd5-7c09-5370-8aca-1088cfef12ca
70af7001-2f01-5e1b-822e-7ae04389ebfb,f5383f2d-dc54-5fea-a75d-82b735add85f,GEO-BG-30000,Sensor1,V,2006-12-18T19:39:14Z,2007-11-06T21:51:37Z,89ea3f17-1d77-577c-b8b5-bee259189de3,c3de1cd5-7c09-5370-8aca-1088cfef12ca
7b360bed-827d-5dfb-b16f-88d00aa9e5bf,e8d0e2d8-ec36-506c-9167-a725334f461d,DL-BE-30000,Primary,,2006-12-20T17:29:37Z,2007-04-05T21:50:08Z,c2ab1710-57bd-5c4d-89ca-1d9e477fa184,77a7ada3-3e85-5efa-8ee2-7f1f07d92423
592d350d-a07b-5992-ad84-245fa7c7da35,6b67bef7-105d-5a9e-b767-feaa683d21fc,DL-BE-30002,Primary,,2007-02-05T19:46:12Z,2007-03-19T19:04:26Z,46b690fe-e55e-54c3-9bb6-cb6c51fee1ff,e84df870-ff51-58dc-8436-2f4408df9dc7
2e5024b8-45c6-5271-abfb-ca298444316c,443d91f3-935f-5824-b952-80f99420c79a,DL-BE-30003,Primary,,2007-02-21T13:12:06Z,2007-03-15T15:54:28Z,8fa92db2-b9a1-5948-8098-f1b17b0bc9cc,5c4318f0-4e32-54cd-8b97-4eb730ebb2d2
c0bb7859-5043-5624-b92b-54544920144f,3736b18f-1990-5452-b496-a9af20f59b50,TMP-5001,Primary,,2007-03-29T18:50:29Z,2007-06-02T12:33:22Z,39909a5f-fa87-56c2-a842-a37e5f50474d,a0e49673-acc1-5ead-93b4-4d3d55306abb
7d685eee-e3ec-5997-adf0-2e4023cf2f4c,ebfc0b4c-bed9-5e95-8f38-ecb94d68a630,DL-BE-30005,Primary,,2007-04-16T13:10:14Z,2007-07-08T22:08:26Z,911446f3-32a2-5f25-9531-71fb28e363e4,80ddca84-e645-5316-a3fd-e5924db3a679
dc10e640-970d-5967-a10d-f0297b3d2214,cf5b640f-24c2-58ac-b616-6b30a905b339,DL-BE-30006,Primary,,2007-04-16T16:22:44Z,2007-05-18T20:24:34Z,97f60024-c2c2-5755-a157-90abe8cf75ee,3c739185-c3f8-5b3f-92ad-df2996d5cded
f22d255a-f2e9-5ca0-8701-4779f5126991,d7db1610-2fe1-5e71-8790-c4381bd56126,DL-BE-30003,Primary,,2007-04-30T13:28:25Z,2007-05-29T21:07:33Z,ab00603c-2928-57e2-96ee-4f6f9ec58634,cbeb9032-386e-5143-8661-9efb775106d1
be24b6bd-b102-522f-ad2d-d770bd90b1a2,d7db1610-2fe1-5e71-8790-c4381bd56126,GEO-BG-30002,Sensor1,V,2007-04-30T13:28:25Z,2007-05-29T21:07:33Z,ab00603c-2928-57e2-96ee-4f6f9ec58634,cbeb9032-386e-5143-8661-9efb775106d1
d09cd027-f4be-59fb-80cf-f86c0d3a9889,959a6780-18a0-53d0-b868-88c4acb79ce1,DL-BE-30000,Primary,,2007-05-07T12:18:52Z,2007-05-31T20:56:57Z,d4b36946-e4b9-52af-8ed1-6964287f24fb,1f87da16-345a-5a6e-b800-808363fea8c9
ddd5269a-5a00-56ab-9e30-5743c43d4b04,959a6780-18a0-53d0-b868-88c4acb79ce1,GEO-BG-30001,Sensor1,N,2007-05-07T12:18:52Z,2007-05-31T20:56:57Z,d4b36946-e4b9-52af-8ed1-6964287f24fb,1f87da16-345a-5a6e-b800-808363fea8c9
54ebffec-37ef-5942-95db-62212997a9c1,656d6ca0-2490-5905-8e9c-07f44588dc47,DL-BE-30003,Primary,,2007-06-04T13:39:30Z,2007-07-03T17:30:03Z,9e728348-afaf-5ed7-82ba-d52d7ad517f6,2b441d48-5bb4-5a46-b386-738273794fd6
812fbbd8-15c9-5109-9aad-3e171b1d12cb,656d6ca0-2490-5905-8e9c-07f44588dc47,GEO-BG-30002,Sensor1,S,2007-06-04T13:39:30Z,2007-06-12T17:52:34Z,9e728348-afaf-5ed7-82ba-d52d7ad517f6,55405ddd-4ad8-53f5-9f4b-ba1ed4451364
06f11bc3-6498-569d-b07f-ff665f40aeff,21ad982b-eaa0-552c-a915-5c53ba03b853,DL-BE-30002,Primary,,2007-06-15T14:45:48Z,2007-08-27T19:03:59Z,1d40ad0c-e0ae-5074-878d-e755b89b784a,7fc40785-2b8a-57e5-b5b0-f1772c5eb333
cd35d553-7b9b-5b75-bde0-9e27dd81e3f1,95facf17-12ff-5a19-98a7-fe43e5e1e903,DL-BE-30007,Primary,,2007-06-18T14:59:24Z,2007-12-21T18:45:25Z,30a00536-e333-57e9-919d-0e802d3ee3ef,21af8954-7818-5b5e-b277-f64b770f4a31
84403860-395b-5198-968c-a798b1fd1a9f,7a90044a-1937-50a7-bdc8-94745c12835f,TMP-5001,Primary,,2007-07-04T18:49:13Z,2007-07-23T18:34:48Z,594d9ae3-ae18-5091-bce9-ed71f9bbdfe8,b86970dc-6cfd-5fb7-9d3d-107b4da2253f
083dc768-88ea-5b45-bc5d-fabd4f76b69b,d35f6321-8aa3-5a43-a12e-f29cf14132c3,DL-BE-30006,Primary,,2007-07-20T16:13:45Z,2007-08-07T18:26:31Z,cac883ec-81e9-5fa3-8c07-5f14298f4cd1,60e61a92-5485-5528-8b06-8d88da0e37c8
dc96e312-d77d-5ebc-89c0-d8b47c92613a,cb74f73e-1028-54fe-beb4-6699ec03c0dc,DL-BE-30008,Primary,,2007-08-01T13:37:24Z,2007-09-18T20:46:46Z,23a0ca88-92d3-5e57-96c4-0306ddc2b4e6,316bf31c-d366-56d3-9c24-9dfec08f5dc0
f34da8aa-0e29-5624-8b72-ca8ba13f4fc2,90f8e0e8-b261-5f9d-9a8c-e8ea18c2ffb7,TMP-5001,Primary,,2007-08-06T12:26:33Z,2008-03-28T17:31:32Z,7c6aebda-26c5-579d-becc-e85254380607,b55ae973-ce43-56db-963f-79cf7551993e
a788db0a-83b5-51bb-90d3-a83f6681aa64,0fedc84e-7189-5753-9728-f6a01638da15,DL-BE-30000,Primary,,2007-08-07T19:53:06Z,2007-10-14T19:51:06Z,87b3bb00-87a6-5018-939e-99456a643317,59ba4482-91b9-5d8c-bf9e-a9c8d28ea3a7
009170b8-d0a3-51da-8375-7cbd9c9f94bf,0fedc84e-7189-5753-9728-f6a01638da15,GEO-BG-30001,Sensor1,BH,2007-08-07T19:53:06Z,2007-10-14T19:51:06Z,87b3bb00-87a6-5018-939e-99456a643317,59ba4482-91b9-5d8c-bf9e-a9c8d28ea3a7
43c919fa-7676-505b-b6e0-e38b2bb31fd0,f1e68e2a-d0d2-5a46-8cf4-3d06ebdfc96a,DL-BE-30003,Primary,,2007-08-07T19:26:41Z,2008-01-25T19:04:35Z,976e6a7a-9d73-5c16-ad8d-585c7267b19d,eaa4a35d-6e92-5aaa-ad7c-e61c15b0f7df
5ed91a74-4b72-5e13-a041-9b7172259f66,f1e68e2a-d0d2-5a46-8cf4-3d06ebdfc96a,GEO-BG-30002,Sensor1,S,2007-08-07T19:26:41Z,2008-01-25T19:04:35Z,976e6a7a-9d73-5c16-ad8d-585c7267b19d,eaa4a35d-6e92-5aaa-ad7c-e61c15b0f7df
7c2bd077-c796-5729-8ab1-3050a0f088af,9972895f-d5b5-59e3-889e-34acab1d1ca1,DL-BE-30009,Primary,,2007-08-30T15:28:12Z,2007-10-04T17:56:44Z,1da4c7b3-ca11-5461-a8f4-91eb696644b2,73c07b42-127d-5100-a6c0-f4d4e2c11854
818920af-2c20-5e3e-ab14-9789cb8d10a1,e6a11080-f98a-5c90-9d4b-6b804270600f,DL-BE-30006,Primary,,2007-09-11T19:46:26Z,2007-10-09T19:09:06Z,963a719a-35e9-5456-9a4a-781399ed66c2,d4400e57-99ac-58f0-bf45-15da4eea6b52
c82034bb-4ddc-5a6a-8472-826632f98307,e6a11080-f98a-5c90-9d4b-6b804270600f,GEO-BG-30004,Sensor1,S,2007-09-11T19:46:26Z,2007-10-09T19:09:06Z,963a719a-35e9-5456-9a4a-781399ed66c2,d4400e57-99ac-58f0-bf45-15da4eea6b52
c062f523-54de-540d-84a1-af30ae87299d,7697f249-f588-581c-917c-69ad8374bfc8,DL-BE-30006,Primary,,2007-10-18T16:49:17Z,2007-12-31T22:29:20Z,a7b61388-da4f-51d2-b412-b04995a9167c,fe41d4f8-15b8-5c2c-b72f-7680bcd5fd66
afd2765e-5194-5ef7-8b1d-799bf23addca,7697f249-f588-581c-917c-69ad8374bfc8,GEO-BG-30004,Sensor1,H,2007-10-18T16:49:17Z,2007-12-31T22:29:20Z,a7b61388-da4f-51d2-b412-b04995a9167c,fe41d4f8-15b8-5c2c-b72f-7680bcd5fd66
f4c8ab68-8f9f-5e04-a362-da05b7d284e2,418b4bf5-2c6b-5eed-8f03-9252ae6a8869,DL-BE-30000,Primary,,2007-10-22T17:26:09Z,2008-03-03T18:25:42Z,6c259b6a-66ef-50b6-881d-f9b4b8e1df92,e68c2817-72a8-5040-8964-57ca67d49c9e
70556032-3f8f-5af9-a375-106f1eaf5f26,418b4bf5-2c6b-5eed-8f03-9252ae6a8869,GEO-BG-30001,Sensor1,S,2007-10-22T17:26:09Z,2008-03-03T18:25:42Z,6c259b6a-66ef-50b6-881d-f9b4b8e1df92,e68c2817-72a8-5040-8964-57ca67d49c9e
6727393f-1455-524f-a2ff-77a46f540941,03d6435d-e873-59c2-95ba-0000dffe3473,DL-BE-30008,Primary,,2007-11-05T13:12:03Z,2008-04-14T21:55:33Z,29f27c5f-a33a-5268-a66d-0806ab1cb729,8dbbb2e8-8665-55b6-b69b-18d9e91e691b
29c96242-e8fb-5fdf-a565-a4c4ffbaa96a,2f3b52b9-3db8-5df1-b621-492b43184d82,DL-BE-30009,Primary,,2007-11-26T20:21:23Z,2008-01-15T20:10:23Z,b0a60393-2a9c-58b6-9a77-6ed3f2b778d1,5a282559-d39a-5a2c-af47-49bb8cc3fc66
019e5ef2-e85f-5b37-9bcc-a62c6b4709fc,9bf9b878-62d4-57c4-a650-d14326a9ec6c,DL-BE-30007,Primary,,2008-01-02T13:36:42Z,2008-09-19T18:48:17Z,8f675743-2f02-542b-9811-c014772df321,31f34ae1-c7db-5454-8676-0eb6bea24e99
