LocationName,LocationType,ParentLocationName,IsActive,Latitude,Longitude
Ontario,Region,,TRUE,,
Ottawa,Office,Ontario,TRUE,,
Toronto,Office,Ontario,TRUE,,
Sudbury,Office,Ontario,TRUE,,
SWO,Office,Ontario,TRUE,,
London,Office,Ontario,TRUE,,
Kitchener,Office,Ontario,TRUE,,
Waterloo,Office,Ontario,TRUE,,
Stoney Creek,Office,Ontario,TRUE,,
Mississauga,Office,Ontario,TRUE,,
Thunder Bay,Office,Ontario,TRUE,,
Montreal Calibration,CalLab,,TRUE,,
Unassigned,Storage,Ontario,TRUE,,
116 Lawrence Heights Road,Site,,TRUE,43.38443,-79.57335
4175 Bellamy Ridge Road,Site,,TRUE,45.28113,-76.06525
2813 Lakeshore Viaduct Road,Site,,TRUE,43.76607,-79.62351
1551 Sheridan Mews,Site,,TRUE,43.88681,-79.52852
75 Ironwood Crescent,Site,,TRUE,45.5452,-75.25733
Marchmont Interchange Pier 4,Site,,TRUE,45.27345,-75.46226
1898 Eastgate Boulevard,Site,,TRUE,43.73896,-79.7671
Westgate LRT Shaft 2,Site,,TRUE,45.68743,-76.02014
4625 Danforth Ridge Road,Site,,TRUE,43.67197,-79.28308
Kanata North Substation,Site,,TRUE,45.25918,-75.68052
4534 Copperhead Road,Site,,TRUE,45.17507,-75.35565
Airport Corridor Guideway Segment 12,Site,,TRUE,43.64237,-79.11736
2815 Silverbirch Parkway,Site,,TRUE,45.35247,-75.93498
Harbourview Condominium Excavation,Site,,TRUE,43.58669,-79.16688
Lakeshore Viaduct Pier 7,Site,,TRUE,44.10374,-79.0652
Midtown Relief Sewer Shaft 3,Site,,TRUE,43.65334,-79.41232
1665 Silverbirch Parkway,Site,,TRUE,44.8263,-75.82292
1469 Lakeshore Viaduct Road,Site,,TRUE,43.39345,-79.18479
573 Portlands Way,Site,,TRUE,43.67084,-79.00421
4514 Nickel Belt Road,Site,,TRUE,46.59516,-81.10543
2541 Birchmount Terrace,Site,,TRUE,43.55368,-79.23028
640 Sheridan Mews,Site,,TRUE,43.56182,-79.77025
Greenbelt Trunk Sewer Shaft B,Site,,TRUE,45.57141,-75.86998
Junction Rail Underpass,Site,,TRUE,43.86025,-80.07426
Copper Ridge Crusher Pad,Site,,TRUE,46.46858,-80.52075
2633 Shaft Road,Site,,TRUE,46.61363,-80.93775
Greyrock Mine Portal,Site,,TRUE,46.44574,-81.3131
Eastgate Transit Station Box,Site,,TRUE,44.17577,-79.501
3022 Wexford Drive,Site,,TRUE,43.32538,-79.19622
4471 Frood Extension Road,Site,,TRUE,46.4666,-80.60335
4101 Portlands Way,Site,,TRUE,43.49094,-79.46619
2417 Lily Creek Drive,Site,,TRUE,46.36649,-80.30202
4179 Old Quarry Road,Site,,TRUE,45.11622,-76.01385
2450 Fenwick Street,Site,,TRUE,45.46676,-75.90585
3410 Stonebridge Court,Site,,TRUE,46.06301,-75.71714
4464 Greyrock Mine Road,Site,,TRUE,46.31018,-81.14086
4008 Lakeshore Viaduct Road,Site,,TRUE,44.03884,-79.66445
2546 Grist Mill Lane,Site,,TRUE,45.52438,-75.40966
Portlands Flood Channel,Site,,TRUE,43.48543,-79.34855
Northline Hospital Redevelopment,Site,,TRUE,44.12705,-79.60683
2864 Birchmount Terrace,Site,,TRUE,43.69372,-78.90073
1111 Harbourview Lane,Site,,TRUE,43.64408,-79.18503
2847 Stonebridge Court,Site,,TRUE,45.40418,-75.61812
1369 Grist Mill Lane,Site,,TRUE,45.62518,-75.31401
1387 Portlands Way,Site,,TRUE,43.6428,-78.50193
Kelly Lake Dam Spillway,Site,,TRUE,46.36944,-81.10335
3962 Lawrence Heights Road,Site,,TRUE,43.91928,-79.54747
2019 Humberline Court,Site,,TRUE,43.45956,-79.09592
1556 Danforth Ridge Road,Site,,TRUE,43.39395,-79.18221
3915 Lawrence Heights Road,Site,,TRUE,43.62033,-79.31535
497 Fenwick Street,Site,,TRUE,45.70763,-75.94189
2924 Larkspur Way,Site,,TRUE,45.34679,-75.65667
4600 Bellamy Ridge Road,Site,,TRUE,45.37019,-76.07358
223 Wexford Drive,Site,,TRUE,43.47899,-79.38984
Fallowfield Quarry East Bench,Site,,TRUE,45.11791,-75.57677
3430 Birchmount Terrace,Site,,TRUE,43.624,-79.3907
1602 Danforth Ridge Road,Site,,TRUE,43.55531,-79.12476
1894 Kettle Creek Road,Site,,TRUE,45.49029,-76.26197
Rideau Bend Rail Grade Separation,Site,,TRUE,45.58032,-75.74135
2236 Danforth Ridge Road,Site,,TRUE,43.35034,-79.23416
2154 Queensway Ridge,Site,,TRUE,43.84685,-78.88783
257 Lawrence Heights Road,Site,,TRUE,43.46976,-79.76611
Chapel Hill Overpass,Site,,TRUE,45.43744,-75.92018
2661 Nickel Belt Road,Site,,TRUE,46.61339,-80.78361
1885 Nickel Belt Road,Site,,TRUE,46.33191,-80.58783
4288 Lawrence Heights Road,Site,,TRUE,43.84045,-79.28067
3819 Birchmount Terrace,Site,,TRUE,43.55555,-80.74692
2997 Conestoga Parkway Extension,Site,,TRUE,42.87839,-81.39932
2160 Stonebridge Court,Site,,TRUE,44.94184,-75.44373
1020 Birchmount Terrace,Site,,TRUE,43.79163,-79.58373
Boreal Pit Bench 4,Site,,TRUE,46.65491,-81.40532
3768 Harrow Gate Drive,Site,,TRUE,45.24466,-75.48291
4579 Conestoga Parkway Extension,Site,,TRUE,43.04529,-80.5707
4181 Danforth Ridge Road,Site,,TRUE,43.79277,-79.26862
1855 Lakeshore Viaduct Road,Site,,TRUE,43.60546,-79.71515
2261 Queensway Ridge,Site,,TRUE,43.76085,-78.97913
808 Eastgate Boulevard,Site,,TRUE,42.97667,-79.39197
3742 Wexford Drive,Site,,TRUE,43.75411,-78.66161
4512 Lawrence Heights Road,Site,,TRUE,43.66865,-79.55795
2423 Eastgate Boulevard,Site,,TRUE,43.06185,-79.24714
2695 Willowdale Crescent,Site,,TRUE,43.52007,-79.52573
3291 Thames Valley Road,Site,,TRUE,43.11937,-81.1133
1891 Portlands Way,Site,,TRUE,43.87278,-78.64939
2765 Danforth Ridge Road,Site,,TRUE,43.06684,-79.06731
Frood Extension Ventilation Raise,Site,,TRUE,46.5678,-81.06001
4183 Eastgate Boulevard,Site,,TRUE,43.84975,-79.41647
Grand River Bridge Pier 2,Site,,TRUE,43.36675,-80.39224
Conestoga Interchange Abutment,Site,,TRUE,43.73529,-81.11031
1767 Lakeshore Viaduct Road,Site,,TRUE,44.01584,-79.01002
4611 Larkspur Way,Site,,TRUE,45.55257,-75.96874
49 Kettle Creek Road,Site,,TRUE,45.47292,-75.50638
2997 Harrow Gate Drive,Site,,TRUE,45.49533,-76.07264
2759 Ashgrove Terrace,Site,,TRUE,45.60598,-75.38668
Erie Shore Wind Farm Access,Site,,TRUE,42.93471,-80.57994
705 Eastgate Boulevard,Site,,TRUE,43.58539,-79.54898
4872 Harbourview Lane,Site,,TRUE,43.41533,-79.5219
2590 Pinery Road,Site,,TRUE,43.11217,-80.89004
3321 Kettle Creek Road,Site,,TRUE,45.52812,-75.88975
2313 Eastgate Boulevard,Site,,TRUE,43.46432,-80.03738
2709 Lakeshore Viaduct Road,Site,,TRUE,43.73485,-79.32257
2071 Lawrence Heights Road,Site,,TRUE,43.58293,-79.8293
2948 Kettle Creek Road,Site,,TRUE,45.27062,-75.09693
2036 Thames Valley Road,Site,,TRUE,42.61947,-81.08685
3930 Danforth Ridge Road,Site,,TRUE,43.21361,-79.78161
2216 Fenwick Street,Site,,TRUE,45.43303,-75.7203
1755 Thames Valley Road,Site,,TRUE,43.3255,-80.90905
4154 Millrace Avenue,Site,,TRUE,45.48068,-76.11403
Pinery Quarry North Face,Site,,TRUE,42.56144,-80.96331
2750 Highbury Crossing,Site,,TRUE,43.03568,-80.70621
4622 Bellamy Ridge Road,Site,,TRUE,45.57007,-75.73028
670 Ironwood Crescent,Site,,TRUE,45.1008,-75.77908
3864 Silverbirch Parkway,Site,,TRUE,45.40619,-75.16735
836 Sheridan Mews,Site,,TRUE,44.04827,-79.23403
943 Kelly Lake Line,Site,,TRUE,46.65881,-81.51853
1608 Lakeshore Viaduct Road,Site,,TRUE,43.58224,-79.34407
2840 Harbourview Lane,Site,,TRUE,43.52239,-79.7599
