LineId,TransactionName,AssetId,StatusBefore,StatusAfter,KitRole,Orientation,PowerSource,Condition,Processed,Notes
c838497c-e125-56a6-8527-c19336a69e58,TXN-000001,GEO-BG-30000,Available,Available,,,,,TRUE,
8333e98c-2078-57aa-b5b7-c3aceeaefa1a,TXN-000002,DL-BE-30000,Available,Available,,,,,TRUE,
aeab40fd-e033-53bd-adf2-f3c669004f2b,TXN-000003,DL-BE-30000,Available,CheckedOut,,,,,TRUE,
b5f14e55-6987-5681-ada2-5edf45cabd7a,TXN-000004,DL-BE-30000,CheckedOut,Deployed,Primary,,Battery,,TRUE,
cbe11eb2-6176-5794-bfd6-35248b737f8e,TXN-000005,DL-BE-30001,Available,Available,,,,,TRUE,
82ff4b33-d668-5a12-9c6e-e82c605fc06d,TXN-000006,DL-BE-30000,Deployed,CheckedOut,,,,Good,TRUE,
9d5cba7c-40c8-5fff-b152-897dfcac62f2,TXN-000007,DL-BE-30001,Available,CheckedOut,,,,,TRUE,
0908c708-5057-5ee8-8268-92d5af8d5c1e,TXN-000007,GEO-BG-30000,Available,CheckedOut,,,,,TRUE,
a6e7abe8-dfa6-516d-822e-fb9af0e2f067,TXN-000008,DL-BE-30001,CheckedOut,Deployed,Primary,,Solar,,TRUE,
ff15ba87-f5f0-53e2-b75c-cbafabd628c5,TXN-000008,GEO-BG-30000,CheckedOut,Deployed,Sensor1,V,Solar,,TRUE,
1d214568-af27-590f-9c66-d658bb0ec33d,TXN-000009,DL-BE-30002,Available,Available,,,,,TRUE,
4c5c0569-b412-562f-b55b-9df9aa47ee38,TXN-000010,DL-BE-30000,CheckedOut,Deployed,Primary,,Battery,,TRUE,
f7919ff5-05a5-5473-957e-d63a3a13b69f,TXN-000011,DL-BE-30003,Available,Available,,,,,TRUE,
be198c1c-b4dd-5b52-89c1-417a5f0246c9,TXN-000012,DL-BE-30002,Available,CheckedOut,,,,,TRUE,
1e93142e-1a66-5707-bbd4-ca0b090f5fb2,TXN-000013,DL-BE-30002,CheckedOut,Deployed,Primary,,Battery,,TRUE,
a7102113-f075-5544-8c42-cf6a2e72c1e7,TXN-000014,GEO-BG-30001,Available,Available,,,,,TRUE,
4b05686a-4daa-5ace-adbc-9dbba97b639b,TXN-000015,TMP-5001,Available,Available,,,,,TRUE,
f1fcb3a2-af28-58dc-9ca7-2df8e0189b66,TXN-000016,DL-BE-30003,Available,CheckedOut,,,,,TRUE,
faedb10b-78fa-5d93-bb01-e1f6b538c527,TXN-000017,GEO-BG-30001,Available,Available,,,,,TRUE,
454ca8d8-b34f-57e9-9ea8-7de9a3dffa51,TXN-000017,TMP-5001,Available,Available,,,,,TRUE,
7a981fbd-924a-56f1-b990-140427114333,TXN-000018,DL-BE-30003,CheckedOut,Deployed,Primary,,Solar,,TRUE,
1bd514ba-a764-51e7-82ff-78596b6c8f6d,TXN-000019,DL-BE-30001,Deployed,Deployed,,,,,TRUE,
77280e7d-84ed-57e6-9905-b856bfd48f37,TXN-000020,DL-BE-30003,Deployed,NeedsRepair,,,,,TRUE,
f1b11a66-cc06-59f8-a381-ba398dd115a0,TXN-000021,DL-BE-30005,Available,Available,,,,,TRUE,
a1b0708a-deb0-5d90-bd09-11c39c85b0ed,TXN-000022,DL-BE-30003,NeedsRepair,InCalibration,,,,,TRUE,
df9d6a42-a314-5bce-b898-2bcfb49d988b,TXN-000023,DL-BE-30002,Deployed,CheckedOut,,,,Good,TRUE,
6bb16bcc-0af1-5668-a674-5efa67a996d5,TXN-000024,TMP-5001,Available,CheckedOut,,,,,TRUE,
cf1ae633-67d1-531c-9df2-cc04bfd13da9,TXN-000025,DL-BE-30002,CheckedOut,Available,,,,Good,TRUE,
24f79361-9783-5826-9ef8-b858a0f327a1,TXN-000026,TMP-5001,CheckedOut,Deployed,Primary,,Solar,,TRUE,
7fd8785f-731b-5b13-9b1a-0fbf58b3fbd1,TXN-000027,DL-BE-30006,Available,Available,,,,,TRUE,
24339490-1a58-5932-9e6a-1330801a9681,TXN-000028,DL-BE-30000,Deployed,CheckedOut,,,,Good,TRUE,
908e8286-221f-5d59-b11a-175d89bd8ed1,TXN-000029,DL-BE-30000,CheckedOut,Available,,,,Good,TRUE,
12e70b53-0044-53ff-b37e-85d172649f07,TXN-000030,DL-BE-30005,Available,CheckedOut,,,,,TRUE,
220cece2-14cf-5425-bb3a-f19a53651af3,TXN-000031,GEO-BG-30002,Available,Available,,,,,TRUE,
60f59cac-06bb-5bc3-8d30-a5ebb42741ab,TXN-000032,DL-BE-30005,CheckedOut,Deployed,Primary,,Battery,,TRUE,
c5f6993a-ddf7-5c49-a882-eb74941500ec,TXN-000033,DL-BE-30006,Available,Deployed,Primary,,Solar,,TRUE,
bec97206-c219-5da6-8729-b2c64315efa9,TXN-000034,DL-BE-30003,InCalibration,Available,,,,,TRUE,
bc144998-d1c0-58c7-840e-a850218d1559,TXN-000035,DL-BE-30003,Available,CheckedOut,,,,,TRUE,
68f3a73d-e6ca-58b3-a975-02a4a0f1f4a2,TXN-000035,GEO-BG-30002,Available,CheckedOut,,,,,TRUE,
f428cff3-9016-5e3d-82ff-751034850e6d,TXN-000036,DL-BE-30003,CheckedOut,Deployed,Primary,,AC,,TRUE,
4f38ca2a-64a6-5d9d-b1e4-ce1c79150af5,TXN-000036,GEO-BG-30002,CheckedOut,Deployed,Sensor1,V,AC,,TRUE,
7f6b280f-9571-5e84-99cc-e557f70c49f2,TXN-000037,DL-BE-30000,Available,CheckedOut,,,,,TRUE,
640b48eb-ecdc-5ec4-b5e5-4e94fbf2e04b,TXN-000037,GEO-BG-30001,Available,CheckedOut,,,,,TRUE,
48aac0be-d652-574c-beb8-a3206b0a5428,TXN-000038,DL-BE-30000,CheckedOut,Deployed,Primary,,Battery,,TRUE,
3c175ede-b3f6-54dc-a0a8-ec1f4d76fb95,TXN-000038,GEO-BG-30001,CheckedOut,Deployed,Sensor1,N,Battery,,TRUE,
d468e0d5-650e-55fc-bda4-c1f8ad8de89a,TXN-000039,DL-BE-30007,Available,Available,,,,,TRUE,
27ca2f28-b23f-54b3-98ef-5bf81df5d74f,TXN-000040,DL-BE-30001,Deployed,Deployed,,,,,TRUE,
9b9f3db7-f4ba-5bfc-9ea2-8ca2d4af57ee,TXN-000040,GEO-BG-30000,Deployed,Deployed,,,,,TRUE,
d02c5060-db6b-5cac-be33-6a0d9e4c16d3,TXN-000041,DL-BE-30006,Deployed,CheckedOut,,,,Good,TRUE,
a320ef62-24f4-5de5-ade7-5e038cd25065,TXN-000042,DL-BE-30006,CheckedOut,Available,,,,Damaged,TRUE,
cf6addaf-812e-5332-b83d-3704b6b09c99,TXN-000043,DL-BE-30006,Available,NeedsRepair,,,,,TRUE,
95b9a0c2-47e1-5b38-b64f-ccd0c3baa2c9,TXN-000044,DL-BE-30003,Deployed,CheckedOut,,,,Good,TRUE,
ec922c5c-8d70-591d-a57c-6e03ae424475,TXN-000044,GEO-BG-30002,Deployed,CheckedOut,,,,Good,TRUE,
3a540eac-d243-5560-a78f-30f779105b49,TXN-000045,DL-BE-30000,Deployed,CheckedOut,,,,Good,TRUE,
cddf9e94-3572-5c6e-b53f-96f31a167d3c,TXN-000045,GEO-BG-30001,Deployed,CheckedOut,,,,Good,TRUE,
0790cfcc-cbdd-5670-9b12-da6094a1f0a4,TXN-000046,DL-BE-30000,CheckedOut,Available,,,,Good,TRUE,
0ce90d52-546e-5f0d-ac36-cece5a9324b1,TXN-000046,GEO-BG-30001,CheckedOut,Available,,,,Good,TRUE,
765fe42a-2c25-53e3-b2d4-90c9f84635f0,TXN-000047,TMP-5001,Deployed,NeedsRepair,,,,,TRUE,
65f6d078-5de3-5514-8b4a-20f273fa1c12,TXN-000048,DL-BE-30003,CheckedOut,Deployed,Primary,,Battery,,TRUE,
a384a67f-7e2d-5e88-b699-e13a0519623c,TXN-000048,GEO-BG-30002,CheckedOut,Deployed,Sensor1,S,Battery,,TRUE,
69dd7aee-0a49-5f90-8957-938ffab2c924,TXN-000049,TMP-5001,NeedsRepair,InCalibration,,,,,TRUE,
0b6b5ff0-71b6-507e-bc5b-85d968c8e695,TXN-000050,GEO-BG-30002,Deployed,CheckedOut,,,,Good,TRUE,
8856fb62-bcf8-513e-9643-f4d972528f68,TXN-000051,GEO-BG-30002,CheckedOut,Available,,,,Good,TRUE,
b22d9dc0-cae8-527d-bf5c-f759c08ec8f7,TXN-000052,DL-BE-30000,Available,InCalibration,,,,,TRUE,
b4ce7a1a-1873-5d38-a57e-b582e10065c1,TXN-000053,DL-BE-30002,Available,Deployed,Primary,,Battery,,TRUE,
9dd0c418-c7ee-5b58-9c81-44a505860481,TXN-000054,DL-BE-30007,Available,Deployed,Primary,,Solar,,TRUE,
e6a325b4-017c-5e8e-99d3-daf889f911e1,TXN-000055,DST-5001,Available,Available,,,,,TRUE,
49c8edb9-bc75-57a9-9aaf-c9e4d0e6aa97,TXN-000056,DL-BE-30006,NeedsRepair,InCalibration,,,,,TRUE,
